work_id,author_slug,author_name,title,year,work_kind,verification,note
andy-weir--the-martian,andy-weir,Andy Weir,The Martian,2011/2014,core,confirmed,Self-pub Kindle original → Crown 2014 trade reissue — see edition-of chain.
andy-weir--artemis,andy-weir,Andy Weir,Artemis,2017,core,confirmed,Crown.
andy-weir--project-hail-mary,andy-weir,Andy Weir,Project Hail Mary,2021,core,confirmed,Ballantine.
andy-weir--cheshire-crossing,andy-weir,Andy Weir,Cheshire Crossing,2019,core,confirmed,"Graphic novel, written by Weir, illus. Sarah Andersen (corrected from an earlier misattributed illustrator). ISBN 9780399582073."
andy-weir--the-egg,andy-weir,Andy Weir,The Egg,2009 / audiobook,core,confirmed,"Free 2009 web text, but also sold as a standalone paid Audible/Apple Books audiobook (narr. R.C. Bray) — qualifies under the standalone-sold rule."
andy-weir--james-moriarty-consulting-criminal,andy-weir,Andy Weir,"James Moriarty, Consulting Criminal",2017,core,confirmed,"INDEPENDENT PASS — original audio work (3 original Moriarty stories), Audible Studios, own print/ebook ISBN 9781543642735. Not previously documented at all. Confirmed present in the real pipeline output."
andy-weir--randomize,andy-weir,Andy Weir,Randomize,2019,core,confirmed,"INDEPENDENT PASS — Amazon Original Stories' Forward collection #6, same collection and individually-sold pattern as Veronica Roth's “Ark” (#1). Confirmed sold standalone as ebook (ASIN B07VDJBKNJ) and audiobook. Directly visible in the pipeline's own skippedLanguageSample with an empty language field — an 8th author with this exact bug caught live."
andy-weir--andy-weir-s-3-book-collection-set,andy-weir,Andy Weir,Andy Weir's 3-Book Collection Set,,compilation,confirmed,"box set, ISBN 9781637990520, bundles the three already-counted novels (component ISBNs 9780593135228 / 9780553418026 / 9780553448146)."
andy-weir--the-egg-and-other-stories-audiobook,andy-weir,Andy Weir,The Egg and Other Stories (audiobook),,compilation,confirmed,9-story audiobook collection bundling “The Egg” with 8 others; whether those 8 were sold individually is unverified.
andy-weir--principles-of-uncertainty-tapas-ebook-2016,andy-weir,Andy Weir,"Principles of Uncertainty (Tapas ebook, 2016)",,compilation,confirmed,"INDEPENDENT PASS — a second, distinct compilation not previously documented: flash-fiction collection bundling “The Egg” (already core) with 8 free-web-origin shorter pieces, none independently confirmed sold standalone."
andy-weir--the-martian-4-edition-chain,andy-weir,Andy Weir,The Martian — 4-edition chain,,edition-of,confirmed,"self-pub blog serial → self-pub Kindle ($0.99, Sept 2011) → Crown hardcover (Feb 2014, ISBN 978-0-8041-3902-1) → Del Rey movie tie-in (Aug 2014, ISBN 0091956145) → Ballantine paperback (ISBN 9780553418026). Sharpest ISBN-vs-title merge test in the set."
andy-weir--the-martian-foreign-translations,andy-weir,Andy Weir,"The Martian, foreign translations",,edition-of,confirmed,"representative sample, not exhaustive."
andy-weir--casey-and-andy,andy-weir,Andy Weir,Casey and Andy,2001-08,non-book,confirmed,"INDEPENDENT PASS — free webcomic, not a sold book. Present in skippedLanguageSample."
andy-weir--der-mars-survival-guide,andy-weir,Andy Weir,Der Mars Survival Guide,,non-book,confirmed,"INDEPENDENT PASS — German interview/tie-in booklet, not a sold book."
